Title,Series_Title,Issue_Number,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Price,Sell_Method,Num_of_Bids,Shipping_Price,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score
🔥B2G1FREE🔥 Marvel: Star Wars War of the Bounty Hunters 3 - Kirkham Trade,Batman/Superman,13,https://i.ebayimg.com/images/g/OycAAOSwV5FjK9vH/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,"First Printing, Boarded, Certificates of Authenticity (COA) Included, Collector's Edition, Limited Edition, Set, Variant Cover",Modern Age (1992-Now),"Cover Variant - Artist Cover, Cover Variant - B, Incentive Variant, Retailer Exclusive Variant, Store Variant, Virgin Variant","Action, Adventure, Cartoon, Fantasy, Fiction, Horror & Sci-Fi, Monster, Mystery, Occult, Science Fiction, Superheroes, Supernatural","Catwoman, Deadpool, Harley Quinn, Batman (Bruce Wayne), Black Cat (Felicia Hardy), Carnage, Joker, Knull, Moon Knight, Punisher, Spider-Gwen, Spider-Man (Miles Morales), Spider-Man (Peter Parker), Venom, Wolverine (Laura Kinney), Wolverine (Logan), Wonder Woman (Diana Prince)",,"Alien, Buffy the Vampire Slayer, DC Universe, Marvel (MCU)",US $14.00,buy_it_now,,$4.99,"Dec 05, 2022","Providence, Rhode Island, United States",thecollectorer,449
🔥B2G1FREE🔥 Marvel: Star Wars Crimson Reign 4 - Kirkham Virgin Variant,Amazing Spider-Man,26,https://i.ebayimg.com/images/g/xxEAAOSwmJBjO834/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,"First Printing, Boarded, Certificates of Authenticity (COA) Included, Collector's Edition, Limited Edition, Set, Variant Cover",Modern Age (1992-Now),"Cover Variant - Artist Cover, Cover Variant - B, Incentive Variant, Retailer Exclusive Variant, Store Variant, Virgin Variant","Action, Adventure, Cartoon, Fantasy, Fiction, Horror & Sci-Fi, Monster, Mystery, Occult, Science Fiction, Superheroes, Supernatural","Catwoman, Deadpool, Harley Quinn, Batman (Bruce Wayne), Black Cat (Felicia Hardy), Carnage, Joker, Knull, Moon Knight, Punisher, Spider-Gwen, Spider-Man (Miles Morales), Spider-Man (Peter Parker), Venom, Wolverine (Laura Kinney), Wolverine (Logan), Wonder Woman (Diana Prince)",,"Alien, Buffy the Vampire Slayer, DC Universe, Marvel (MCU)",US $11.75,buy_it_now,,$4.99,"Dec 05, 2022","Providence, Rhode Island, United States",thecollectorer,449
AMAZING SPIDER-MAN The Movie #1 Andrew Garfield Emma Stone Photo Marvel Comics,Amazing Spider-Man: The Movie,1,https://i.ebayimg.com/images/g/fnUAAOSwiDFjFw-M/s-l500.jpg,--,Ungraded,Marvel Comics,2012,Single Issue,US Comics,"First Printing, Boarded",Modern Age (1992-Now),Comic Book,"Movie, TV & Music, Superheroes",Spider-Man,,Marvel Universe,US $30.00,best_offer_accepted,,$8.60,"Dec 05, 2022","Las Vegas, Nevada, United States",smart_snake_enterprises,7383
The Amazing Spider-Man #22 Reprint in Marvel Tales #160 VF (Marvel 1984),,,https://i.ebayimg.com/images/g/vgMAAOSwwbdWLXmC/s-l500.jpg,--,,,,,,,,,,,,,US $4.99,highest_bidder,1,$6.75,"Dec 05, 2022","Richmond, British Columbia, Canada",kurtizmo,555
AMAZING SPIDER-MAN #149 CGC 5.5  1st App Spider-Man Clone (Ben Reilly)!! Marvel,Amazing Spider-Man,149,https://i.ebayimg.com/images/g/MkMAAOSwjvZjhO2E/s-l500.jpg,Very Good,5.5 Fine-,Marvel,1975,,US Comics,Key Issue,Bronze Age (1970-83),Comic Book,,Spider-Man,,Marvel (MCU),US $52.88,highest_bidder,8,$15.95,"Dec 05, 2022","Lilburn, Georgia, United States",kinggmac,1801
ultimate spiderman 130-133 Near Mint Bagged And Boarded.,Ultimate Spider-Man,130-133,https://i.ebayimg.com/images/g/JZUAAOSwKd9jdwzy/s-l500.jpg,Like New,9.4 Near Mint,Marvel Comics,2009,,US Comics,Boarded,Modern Age (1992-Now),Comic Book,Superheroes,Spiderman,,,US $15.00,buy_it_now,,$3.49,"Dec 05, 2022","Anderson, South Carolina, United States",marvel-list-comics,225
Rom 1 CGC 8.0 Newsstand Edition Spider-Man & his Amazing Friends 1 CGC 9.2 News,,,https://i.ebayimg.com/images/g/290AAOSww-hjjiuV/s-l500.jpg,--,,Marvel,,,,,,,,,,,US $144.50,buy_it_now,,$17.05,"Dec 05, 2022","Los Angeles, California, United States",my_comics_direct,2078
Ultimate Comics All-New Spider-Man #1 POLYBAG Factory Sealed Miles Morales 2011,Ultimate Comics Spider-Man,1,https://i.ebayimg.com/images/g/YYgAAOSwNEtjbabU/s-l500.jpg,--,,Marvel Comics,2011,,US Comics,,,,,"Miles Morales, Spider-Man",,,US $200.00,buy_it_now,,FREE,"Dec 05, 2022","Enterprise, Alabama, United States",smw7896,367
Spider-Man #5 JJ Abrams Marvel Comic Book 2021 B2G1 Free,Spider-Man,5,https://i.ebayimg.com/images/g/QzEAAOSwgQ1ioGkP/s-l500.jpg,Very Good,,Marvel Comics,2021,Single Issue,US Comics,,Modern Age (1992-Now),Comic Book,"Action/Adventure, Action, Superheroes",Spider-Man,,Marvel (MCU),US $3.95,buy_it_now,,$4.95,"Dec 05, 2022","Cortlandt Manor, New York, United States",nerdvananyc,1213
MARVEL MASTERWORKS Amazing Spider-Man Vol 22  OOP NEW SEALED ,Amazing Spider-Man,22,https://i.ebayimg.com/images/g/m4YAAOSwISRjZZsn/s-l500.jpg,Brand New,,Marvel Comics,2020,Hardcover,US Comics,First Printing,Modern Age (1992-Now),Graphic Novel,"Action, Adventure, Superheroes",Spider-Man,,Marvel (MCU),US $80.00,buy_it_now,,FREE,"Dec 05, 2022","Long Beach, California, United States",pulpfictio7,10
MARVEL SPECTACULAR SPIDER-MAN #221 222 223 224 225 226 227 228 229 230 NM L@@K,Amazing Spider-Man,,https://i.ebayimg.com/images/g/YuAAAOSwDzdjNcDv/s-l500.jpg,Like New,,,,,US Comics,,,,,,,,GBP 29.95,buy_it_now,,GBP 26.53,"Dec 05, 2022","Tamworth, United Kingdom",anderson7944,2555
MARVEL SPECTACULAR SPIDER-MAN #231 232 233 234 235 236 237 238 239 240 NM L@@K,Amazing Spider-Man,,https://i.ebayimg.com/images/g/oM0AAOSwnLpjNcFz/s-l500.jpg,Like New,,,,,US Comics,,,,,,,,GBP 29.95,buy_it_now,,GBP 26.53,"Dec 05, 2022","Tamworth, United Kingdom",anderson7944,2555
ULTIMATE SPIDER-MAN #23 (2002) - Marvel Comics / NM-,Ultimate Spider-Man,23,https://i.ebayimg.com/images/g/ggMAAOSwUt1jWf9F/s-l500.jpg,Like New,,Marvel,2002,Single Issue,US Comics,Boarded,Modern Age (1992-Now),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US $3.95,buy_it_now,,$4.50,"Dec 05, 2022","Las Vegas, Nevada, United States",sailorcheese,4891
The Amazing Spider-Man #97 (Jun 1971) ✨ Green Goblin Cover ✔ Marvel Comic Book,Amazing Spider-Man,,https://i.ebayimg.com/images/g/os8AAOSwC79jdo0v/s-l500.png,--,,Marvel Comics,1971,,US Comics,,Bronze Age (1970-83),,,,,,US $50.00,buy_it_now,,$7.35,"Dec 05, 2022","New Rochelle, New York, United States",pinco.org,2678
Spider-Man LEGACY OF EVIL # 1  1996 Marvel Comics,Spider-Man LEGACY OF EVIL,1,https://i.ebayimg.com/images/g/PwMAAOSw-rhjXDXi/s-l500.jpg,Very Good,9.0 Very Fine/Near Mint,Marvel Comics,1996,,US Comics,,Modern Age (1992-Now),,,,,,GBP 1.99,highest_bidder,1,GBP 27.72,"Dec 05, 2022","Cambridge, United Kingdom",juviepricey,1835
MARVEL SPECTACULAR SPIDER-MAN #251 252 253 254 255 256 257 258 NM L@@K,Amazing Spider-Man,,https://i.ebayimg.com/images/g/LugAAOSwDCpjNcJf/s-l500.jpg,Like New,,,,,US Comics,,,,,,,,GBP 24.95,buy_it_now,,GBP 26.42,"Dec 05, 2022","Tamworth, United Kingdom",anderson7944,2555
SPIDERMAN THE LOST YEARS # 0 1 2 3 - COMPLETE 1995 SERIES see description,Spider-Man,,https://i.ebayimg.com/images/g/B7IAAOSwT1hjXDGD/s-l500.jpg,Acceptable,,Marvel Comics,1995,,US Comics,Complete Series,,,,,,,GBP 10.00,highest_bidder,3,GBP 29.60,"Dec 05, 2022","Cambridge, United Kingdom",juviepricey,1835
Infinity Gauntlet Marvel Select Edition by Jim Starlin (2020) Unread,The Infinity Gauntlet,,https://i.ebayimg.com/images/g/~loAAOSw1UZjW054/s-l500.jpg,Like New,,Marvel Comics,2020,,US Comics,Second Edition,Modern Age (1992-Now),Graphic Novel,,"Thanos, Iron Man (Tony Stark), Captain America (Steve Rogers), Wolverine (Logan), Spider-Man (Peter Parker)",,Marvel (MCU),US $25.00,buy_it_now,,$5.00,"Dec 05, 2022","Trenton, New Jersey, United States",okm2k3,257
SPIDER-MAN #1 SABINE RICH NYCC 2022 Trade Dress Variant MARY JANE Marvel Comics ,Spider-Man,1,https://i.ebayimg.com/images/g/X7AAAOSwgnljbqGt/s-l500.jpg,--,,Marvel,2022,Single Issue,US Comics,Variant Cover,Modern Age (1992-Now),Comic Book,Superheroes,"Gwen Stacy, Spider-Gwen, Miles Morales, Spider-Man, Mary Jane",Spider-Man,Marvel,US $14.99,buy_it_now,,$5.00,"Dec 05, 2022","Rio Grande City, Texas, United States",jvenecia2001,1878
MARVEL TEAM-UP #12 CGC 7.5  1st App MOONDARK! Spider-Man Werewolf By Night 1973!,Marvel Team-Up,12,https://i.ebayimg.com/images/g/KnsAAOSwtA5jhO-B/s-l500.jpg,Very Good,7.5 Very Fine-,Marvel Comics,1973,Single Issue,US Comics,"First Character Appearance, Key Issue",Bronze Age (1970-83),,Superheroes,"Spider-Man (Peter Parker), Werewolf By Night, Moondark",,Marvel (MCU),US $77.69,highest_bidder,8,$15.95,"Dec 05, 2022","Lilburn, Georgia, United States",kinggmac,1801
Amazing Spider-Man #362 CGC 9.6 White Pages 2nd App. Carnage Venom Human Torch,Amazing Spider-Man,,https://i.ebayimg.com/images/g/8IAAAOSwLApjMHNT/s-l500.jpg,--,9.6 Near Mint+,Marvel Comics,1992,,US Comics,,Modern Age (1992-Now),,,"Carnage, Spiderman, Venom",,Marvel (MCU),US $74.99,buy_it_now,,$16.40,"Dec 05, 2022","DeLand, Florida, United States",fmjwsales,86
Amazing Spider-Man #9 (2015) CGC 9.8 (W) 2nd App of Spider Gwen,Spider,9,https://i.ebayimg.com/images/g/FioAAOSw3rBjhjcH/s-l500.jpg,Brand New,,Marvel Comics,2015,Single Issue,US Comics,"First Printing, 1st Edition, Key",Modern Age (1992-Now),Comic Book,"Adventure, Action, Superheroes",Spider-Gwen,,"Marvel (MCU), Spider-Verse, Gwen-verse",US $100.00,buy_it_now,,$12.75,"Dec 05, 2022","Mechanicville, New York, United States",john_22_orchard,1182
Amazing Spider-Man #98 VG- 3.5 Drug Issue! Green Goblin! No CCA! Marvel 1971,Amazing Spider-Man,,https://i.ebayimg.com/images/g/LT8AAOSwNiVjgBJ5/s-l500.jpg,--,VG- 3.5,Marvel,1971,,,,Silver Age (1956-69),,,Spider-Man,,,US $46.00,buy_it_now,,,"Dec 05, 2022","Montgomery, Alabama, United States",qualitycomix,26407
Marvel Tales #63 Marvel Comics 1975 FN/VF Spider-man-Ele,Marvel Tales,63,https://i.ebayimg.com/images/g/CiwAAOSw0E9jg3By/s-l500.jpg,Good,,Marvel,1975,Single Issue,US Comics,,Bronze Age (1970-83),Comic Book,,Spider-man,,,US $1.99,buy_it_now,,$3.49,"Dec 05, 2022","Kissimmee, Florida, United States",nickfindstuff,762
Spider-Man #5 JJ Abrams Marvel Comic Book 2021 B2G1 Free,Spider-Man,5,https://i.ebayimg.com/images/g/QzEAAOSwgQ1ioGkP/s-l500.jpg,Very Good,,Marvel Comics,2021,Single Issue,US Comics,,Modern Age (1992-Now),Comic Book,"Action/Adventure, Action, Superheroes",Spider-Man,,Marvel (MCU),US $3.95,buy_it_now,,$4.95,"Dec 05, 2022","Cortlandt Manor, New York, United States",nerdvananyc,1213
Mighty Morphin Power Rangers #45 CGC SS 9.8 (Spider-Man #1) Signed Jason Frank,,45,https://i.ebayimg.com/images/g/LMIAAOSw~OZjjZZ4/s-l500.jpg,Like New,9.8 Near Mint/Mint,,,,US Comics,,,,,,,Power Rangers,US $300.00,best_offer_accepted,,$10.85,"Dec 05, 2022","Fort Worth, Texas, United States",ztbcomics,8
Damage Control #1-4 Complete 3rd Series Set 1991 Marvel Comics Spider-man Hulk,Damage Control,,https://i.ebayimg.com/images/g/Z3kAAOSwkjtjUDWT/s-l500.jpg,Very Good,,Marvel Comics,1991,,US Comics,"First Printing, Boarded, Complete Series, Set",Copper Age (1984-1991),Comic Book,"Action, Adventure, Superheroes, Humor/Satire","Spider-Man (Peter Parker), Hulk (Bruce Banner)",,"Disney, Marvel (MCU)",US $11.95,buy_it_now,,$3.95,"Dec 05, 2022","Austin, Texas, United States",sterwill-0,758
AVENGERS ANNUAL #7 CGC 9.2 WHITE pages - DEATH OF WARLOCK Jim Starlin 77 NM,Avengers,7,https://i.ebayimg.com/images/g/M24AAOSw5b5jbXiQ/s-l500.jpg,Brand New,9.2 Near Mint-,Marvel Comics,1977,Single Issue,US Comics,"First Printing, 1st Edition",,Comic Book,"Action, Adventure, Celebrity, Hobby, Horror & Sci-Fi, Movie & TV, Movie Adaptation, Science Fiction, Superheroes, TV-Comic","Beast, Black Knight (Dane Whitman), Black Panther, Captain America (Steve Rogers), Captain Marvel (Mar-Vell), Drax, Gamora, Hulk (Bruce Banner), Iron Man (Tony Stark), Mephisto, Scarlet Witch, Silver Surfer, Spider-Man (Peter Parker), Thanos, Thor (Odinson), Vision, Warlock",,"Disney, Marvel (MCU)",US $110.00,best_offer_accepted,,$5.00,"Dec 05, 2022","Santa Rosa, California, United States",elijahbear,249
order for kenel5108,,1,https://i.ebayimg.com/images/g/TjgAAOSwpf5jjixC/s-l500.jpg,Brand New,,Marvel Comics,,,US Comics,Variant Cover,Modern Age (1992-Now),"Blank Cover Variant, Incentive Variant, Retailer Exclusive Variant, Store Variant, Subscription Variant, Virgin Variant",War,"Deadpool, Harley Quinn, Batman (Bruce Wayne), Black Cat (Felicia Hardy), Black Panther, Captain America (Bucky Barnes), Captain America (Steve Rogers), Daredevil (Matt Murdock), Darth Maul, Doctor Strange, Elektra, Hulk (Bruce Banner), Iron Man (Tony Stark), Luke Skywalker, Mary Jane Watson, Morbius, Poe Dameron, Poison Ivy, Red Hulk, Rocket Raccoon, She-Hulk, Spider-Gwen, Spider-Man (Peter Parker), Thor (Donald Blake), Thor (Jane Foster), Venom, War Machine, Wolverine (Logan), Wonder Woman (Diana Prince), X-23",,Marvel (MCU),US $15.00,buy_it_now,,FREE,"Dec 05, 2022","Fernandina Beach, Florida, United States",fast_time904,4227
Web of Spider-Man #9 FN 2010 Stock Image,Web of Spider-Man,9,https://i.ebayimg.com/images/g/-zQAAOSw7JdjZoKa/s-l500.jpg,--,6.0 Fine,Marvel,2010,,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man,,,US $3.50,buy_it_now,,$6.60,"Dec 05, 2022","Arlington, Texas, United States",mycomicshop,464668
Spider-Man / Deadpool #3 8 12 18 & 38 Excellent Condition,,,https://i.ebayimg.com/images/g/d-kAAOSwBAhigT0B/s-l500.jpg,Like New,,Marvel Comics,,,US Comics,,,,,"Deadpool, Spider-Man",Spider-Man/Deadpool,Marvel (MCU),GBP 8.99,buy_it_now,,GBP 23.09,"Dec 05, 2022","Clevedon, United Kingdom",iainrocks,1694
AMAZING SPIDERMAN 699 VF+ 1st PRINT COVER LEAD UP TO 700 LAST ISSUE RARE,Amazing Spider-Man,,https://i.ebayimg.com/images/g/zYgAAOSwYcJjSbSE/s-l500.jpg,Very Good,NM,Marvel,,,US Comics,,,,,Spiderman,,,US $3.99,buy_it_now,,$4.99,"Dec 05, 2022","Houston, Texas, United States",anzcomics,26343
AMAZING SPIDER-MAN (2014) #4 CGC 9.8 First Appearance Silk,Amazing Spider-Man,4,https://i.ebayimg.com/images/g/wwgAAOSwzO5jd5jw/s-l500.jpg,--,9.8 Near Mint/Mint,Marvel Comics,2014,,US Comics,,Modern Age (1992-Now),Comic Book,,Silk,,,US $239.99,buy_it_now,,FREE,"Dec 05, 2022","Lansdale, Pennsylvania, United States",steve1895,1112
Bronze And Copper Age Spider Man (Team Up & Versus),Spider-Man,,https://i.ebayimg.com/images/g/KAAAAOSwUphi6TQc/s-l500.jpg,Very Good,,Marvel Comics,1979,Softcover,US Comics,Transparent Cover,Bronze Age (1970-83),Comic Book,,"Spider-Man (Peter Parker), Wolverine (Logan), Nick Fury, Iron Man (Tony Stark), Shang-Chi, Black Widow (Natasha Romanoff)",,,US $10.00,best_offer_accepted,,$3.50,"Dec 05, 2022","Cleveland, Ohio, United States",omnislas80,5
Marvel THE AMAZING SPIDER-MAN 2022 #1 EMINEM VARIANT Comic Book ➡SHIPS SAME DAY!,The Amazing Spider-Man,895,https://i.ebayimg.com/images/g/oTEAAOSwHyNjjgpU/s-l500.jpg,Brand New,,Marvel Comics,2022,,US Comics,,,Comic Book,,,,,US $159.99,best_offer_accepted,,,"Dec 05, 2022","Chicago, Illinois, United States",jorloi-79,19
AMAZING SPIDER-MAN #149 CGC 5.5  1st App Spider-Man Clone (Ben Reilly)!! Marvel,Amazing Spider-Man,149,https://i.ebayimg.com/images/g/MkMAAOSwjvZjhO2E/s-l500.jpg,Very Good,5.5 Fine-,Marvel,1975,,US Comics,Key Issue,Bronze Age (1970-83),Comic Book,,Spider-Man,,Marvel (MCU),US $52.88,highest_bidder,8,$15.95,"Dec 05, 2022","Lilburn, Georgia, United States",kinggmac,1801
SPIDER-MAN # 1 NM SIGNED STAN LEE & TODD MCFARLANE! Marvel 1990 RARE!,Spider-Man,1,https://i.ebayimg.com/images/g/1GgAAOSwD8BjABiR/s-l500.jpg,--,9.4 Near Mint,Marvel,1990,Single Issue,US Comics,Key Issue,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,Amazing Spider-Man,Marvel (MCU),US $162.50,highest_bidder,39,$12.60,"Dec 05, 2022","Fairfield, California, United States",pegar_1505,147
ultimate spiderman 130-133 Near Mint Bagged And Boarded.,Ultimate Spider-Man,130-133,https://i.ebayimg.com/images/g/JZUAAOSwKd9jdwzy/s-l500.jpg,Like New,9.4 Near Mint,Marvel Comics,2009,,US Comics,Boarded,Modern Age (1992-Now),Comic Book,Superheroes,Spiderman,,,US $15.00,buy_it_now,,$3.49,"Dec 05, 2022","Anderson, South Carolina, United States",marvel-list-comics,225
Spider man 50,Spider-Man,50,https://i.ebayimg.com/images/g/4d8AAOSwtDBjh58H/s-l500.jpg,Very Good,6.5 Fine+,Marvel Comics,1963,Single Issue,US Comics,Kingpin,Copper Age (1984-1991),Single issue,,Spider-Man (Peter Parker),,,US $600.00,highest_bidder,1,$9.90,"Dec 05, 2022","Longmont, Colorado, United States",hazers1,147
Spiderman #1 CGC 9.6 Todd McFarlane 1990 MARVEL MCU Lizard Appearance,Spider-Man,1,https://i.ebayimg.com/images/g/FiUAAOSwo75jfjkm/s-l500.jpg,Brand New,8.5 Very Fine+,Marvel,1990,,US Comics,,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,Spider,Marvel (MCU),US $100.00,buy_it_now,,$13.65,"Dec 05, 2022","Corpus Christi, Texas, United States",boxesfromtheattic,10498
SPIDER-MEN II #1 Kadir Nelson Variant 1:10 Marvel Comics 2017 NM-  n182x,Spider-Men,1,https://i.ebayimg.com/images/g/vFAAAOSwfGRjRGqd/s-l500.jpg,Like New,9.2 Near Mint-,Marvel Comics,2017,Single Issue,US Comics,Variant Cover,Modern Age (1992-Now),,,Spider-Man (Miles Morales),,,US $12.00,buy_it_now,,$6.50,"Dec 05, 2022","Avon Park, Florida, United States",brians5566,5580
Official Marvel Index To Marvel Team-Up Featuring Spider-Man 5,,5,https://i.ebayimg.com/images/g/8HMAAOSwBahh5wjC/s-l500.jpg,--,,Marvel Comics,1986,Softcover,US Comics,,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,The Official Marvel Index to,Marvel (MCU),US $3.00,buy_it_now,,$6.50,"Dec 05, 2022","Fair Oaks, California, United States",worldsofwonder,7479
